Individual;rdf:type;sosa:isFeatureOfInterestOf
FreeCoolerRotationSpeed;hpcc:FeatureOfInterest;FreeCoolerUP4RotationSpeedMean
FreeCoolerPressure;hpcc:FeatureOfInterest;FreeCoolerUP4InletPressureMean
FreeCoolerPressure;hpcc:FeatureOfInterest;FreeCoolerUP4OutletPressureMean
FreeCoolerPressure;hpcc:FeatureOfInterest;FreeCoolerFlowInPressureMean
FreeCoolerPressure;hpcc:FeatureOfInterest;FreeCoolerFlowReturnPressureMean
FreeCoolerPressure;hpcc:FeatureOfInterest;FreeCoolerTargetDifferentialPressureMean
FreeCoolerTemperature;hpcc:FeatureOfInterest;FreeCoolerFlowInTemperatureMean
FreeCoolerTemperature;hpcc:FeatureOfInterest;FreeCoolerFlowReturnTemperatureMean
RecoolerRotationSpeed;hpcc:FeatureOfInterest;ReCoolerRotationSpeedMean
RecoolerTemperature;hpcc:FeatureOfInterest;ReCoolerFlowInTemperatureMean
RecoolerTemperature;hpcc:FeatureOfInterest;ReCoolerFlowReturnTemperatureMean
RecoolerPressure;hpcc:FeatureOfInterest;ReCoolerFlowInPressureMean
RecoolerPressure;hpcc:FeatureOfInterest;ReCoolerFlowReturnPressureMean
PumpUP1Pressure;hpcc:FeatureOfInterest;PumpUP1InletPressureMean
PumpUP1Pressure;hpcc:FeatureOfInterest;PumpUP1OutletPressureMean
PumpUP1Pressure;hpcc:FeatureOfInterest;PumpUP1AchievedDifferentialPressureMean
PumpUP1RotationSpeed;hpcc:FeatureOfInterest;PumpUP1RotationSpeedMean
HeatPump01Temperature;hpcc:FeatureOfInterest;HeatPump01SoleFlowInTemperatureMean
HeatPump01Temperature;hpcc:FeatureOfInterest;HeatPump01SoleFlowReturnTemperatureMean
HeatPump01Temperature;hpcc:FeatureOfInterest;HeatPump01HotWaterFlowInTemperatureMean
HeatPump01Temperature;hpcc:FeatureOfInterest;HeatPump01HotWaterFlowReturnTemperatureMean
HeatPump01Pressure;hpcc:FeatureOfInterest;HeatPump01HighPressureMean
HeatPump01Position;hpcc:FeatureOfInterest;HeatPump01InValvePositionMean
HeatPump01Position;hpcc:FeatureOfInterest;HeatPump01OutValvePositionMean
CoolerTemperature;hpcc:FeatureOfInterest;CoolerFlowInTemperatureMean
CoolerTemperature;hpcc:FeatureOfInterest;CoolerFlowReturnTemperatureMean
CoolerUP3RotationSpeed;hpcc:FeatureOfInterest;CoolerUP3RotationSpeedMean
CoolerUP3Pressure;hpcc:FeatureOfInterest;CoolerUP3FlowInPressureMean
CoolerUP3Pressure;hpcc:FeatureOfInterest;CoolerUP3FlowReturnPressureMean
CoolerUP3Pressure;hpcc:FeatureOfInterest;CoolerUP3AchievedDifferentialPresureMean
CoolerMV1Position;hpcc:FeatureOfInterest;CoolerMV1PositionMean
CoolerMV19Position;hpcc:FeatureOfInterest;CoolerMV19PositionMean
CoolerMV19Temperature;hpcc:FeatureOfInterest;CoolerMV19TemperatureMean
GeneralOutSideTemperature;hpcc:FeatureOfInterest;GeneralOutSideTemperatureMean
GeneralRefrigerationRegulation;hpcc:FeatureOfInterest;GeneralRefrigerationRegulationOutputMean
HeatExchangerTemperature;hpcc:FeatureOfInterest;HeatExchangerPrimaryFlowInTemperatureMean
HeatExchangerTemperature;hpcc:FeatureOfInterest;HeatExchangerPrimaryFlowReturnTemperatureMean
HeatExchangerTemperature;hpcc:FeatureOfInterest;HeatExchangerSecondaryFlowInTemperatureMean
HeatExchangerTemperature;hpcc:FeatureOfInterest;HeatExchangerSecondaryFlowReturnTemperatureMean
HeatExchangerUPRotationSpeed;hpcc:FeatureOfInterest;HeatExchangerUPRotationSpeedMean
HeatExchangerPressure;hpcc:FeatureOfInterest;HeatExchangerPrimaryFlowInPressureMean
HeatExchangerPressure;hpcc:FeatureOfInterest;HeatExchangerPrimaryFlowReturnPressureMean
HeatExchangerPressure;hpcc:FeatureOfInterest;HeatExchangerPrimaryFlowReturnFilterOutletPressureMean
HeatExchangerPressure;hpcc:FeatureOfInterest;HeatExchangerAchievedDifferentialPressureMean
HeatPump02Temperature;hpcc:FeatureOfInterest;HeatPump02SoleFlowInTemperatureMean
HeatPump02Temperature;hpcc:FeatureOfInterest;HeatPump02SoleFlowReturnTemperatureMean
HeatPump02Temperature;hpcc:FeatureOfInterest;HeatPump02HotWaterFlowInTemperatureMean
HeatPump02Temperature;hpcc:FeatureOfInterest;HeatPump02HotWaterFlowReturnTemperatureMean
HeatPump02Pressure;hpcc:FeatureOfInterest;HeatPump02HighPressureMean
HeatPump02Position;hpcc:FeatureOfInterest;HeatPump02InValvePositionMean
HeatPump02Position;hpcc:FeatureOfInterest;HeatPump02OutValvePositionMean
HeatPump03Temperature;hpcc:FeatureOfInterest;HeatPump03SoleFlowInTemperatureMean
HeatPump03Temperature;hpcc:FeatureOfInterest;HeatPump03SoleFlowReturnTemperatureMean
HeatPump03Temperature;hpcc:FeatureOfInterest;HeatPump03HotWaterFlowInTemperatureMean
HeatPump03Temperature;hpcc:FeatureOfInterest;HeatPump03HotWaterFlowReturnTemperatureMean
HeatPump03Pressure;hpcc:FeatureOfInterest;HeatPump03HighPressureMean
HeatPump03Position;hpcc:FeatureOfInterest;HeatPump03InValvePositionMean
HeatPump03Position;hpcc:FeatureOfInterest;HeatPump03OutValvePositionMean
HeatPump04Temperature;hpcc:FeatureOfInterest;HeatPump04SoleFlowInTemperatureMean
HeatPump04Temperature;hpcc:FeatureOfInterest;HeatPump04SoleFlowReturnTemperatureMean
HeatPump04Temperature;hpcc:FeatureOfInterest;HeatPump04HotWaterFlowInTemperatureMean
HeatPump04Temperature;hpcc:FeatureOfInterest;HeatPump04HotWaterFlowReturnTemperatureMean
HeatPump04Pressure;hpcc:FeatureOfInterest;HeatPump04HighPressureMean
HeatPump04Position;hpcc:FeatureOfInterest;HeatPump04InValvePositionMean
HeatPump04Position;hpcc:FeatureOfInterest;HeatPump04OutValvePositionMean
HeatPump05Temperature;hpcc:FeatureOfInterest;HeatPump05SoleFlowInTemperatureMean
HeatPump05Temperature;hpcc:FeatureOfInterest;HeatPump05SoleFlowReturnTemperatureMean
HeatPump05Temperature;hpcc:FeatureOfInterest;HeatPump05HotWaterFlowInTemperatureMean
HeatPump05Temperature;hpcc:FeatureOfInterest;HeatPump05HotWaterFlowReturnTemperatureMean
HeatPump05Pressure;hpcc:FeatureOfInterest;HeatPump05HighPressureMean
HeatPump05Position;hpcc:FeatureOfInterest;HeatPump05InValvePositionMean
HeatPump05Position;hpcc:FeatureOfInterest;HeatPump05OutValvePositionMean
HeatPump06Temperature;hpcc:FeatureOfInterest;HeatPump06SoleFlowInTemperatureMean
HeatPump06Temperature;hpcc:FeatureOfInterest;HeatPump06SoleFlowReturnTemperatureMean
HeatPump06Temperature;hpcc:FeatureOfInterest;HeatPump06HotWaterFlowInTemperatureMean
HeatPump06Temperature;hpcc:FeatureOfInterest;HeatPump06HotWaterFlowReturnTemperatureMean
HeatPump06Pressure;hpcc:FeatureOfInterest;HeatPump06HighPressureMean
HeatPump06Position;hpcc:FeatureOfInterest;HeatPump06InValvePositionMean
HeatPump06Position;hpcc:FeatureOfInterest;HeatPump06OutValvePositionMean
HeatPump07Temperature;hpcc:FeatureOfInterest;HeatPump07SoleFlowInTemperatureMean
HeatPump07Temperature;hpcc:FeatureOfInterest;HeatPump07SoleFlowReturnTemperatureMean
HeatPump07Temperature;hpcc:FeatureOfInterest;HeatPump07HotWaterFlowInTemperatureMean
HeatPump07Temperature;hpcc:FeatureOfInterest;HeatPump07HotWaterFlowReturnTemperatureMean
HeatPump07Pressure;hpcc:FeatureOfInterest;HeatPump07HighPressureMean
HeatPump07Position;hpcc:FeatureOfInterest;HeatPump07InValvePositionMean
HeatPump07Position;hpcc:FeatureOfInterest;HeatPump07OutValvePositionMean
HeatPump08Temperature;hpcc:FeatureOfInterest;HeatPump08SoleFlowInTemperatureMean
HeatPump08Temperature;hpcc:FeatureOfInterest;HeatPump08SoleFlowReturnTemperatureMean
HeatPump08Temperature;hpcc:FeatureOfInterest;HeatPump08HotWaterFlowInTemperatureMean
HeatPump08Temperature;hpcc:FeatureOfInterest;HeatPump08HotWaterFlowReturnTemperatureMean
HeatPump08Pressure;hpcc:FeatureOfInterest;HeatPump08HighPressureMean
HeatPump08Position;hpcc:FeatureOfInterest;HeatPump08InValvePositionMean
HeatPump08Position;hpcc:FeatureOfInterest;HeatPump08OutValvePositionMean
